"id","dzien","godz","tydzien","id_grupy_grup","id_sale","id_wykladowcy","id_zajecia"
"1","Pon"," 7:30- 8:15","p","1","67","465","1"
"2","Czw"," 7:30- 8:15","n","2","71","228","2"
"3","Czw"," 7:30- 8:15","p","3","71","229","2"
"4","Pon"," 8:15- 9:00","p","1","67","465","1"
"5","Wt"," 8:15- 9:00","n","4","66","880","1"
"6","Czw"," 8:15- 9:00","n","2","71","228","2"
"7","Czw"," 8:15- 9:00","p","3","71","229","2"
"8","Wt"," 9:15-10:00","n","5","58","402","3"
"9","Wt"," 9:15-10:00","n","6","58","403","3"
"10","Wt"," 9:15-10:00","n","6","25","58","4"
"11","Wt"," 9:15-10:00","n","5","25","59","4"
"12","Wt"," 9:15-10:00","n","4","66","880","1"
"13","Sr"," 9:15-10:00","n","7","19","100","4"
"14","Sr"," 9:15-10:00","p","7","19","101","4"
"15","Czw"," 9:15-10:00","n","8","71","228","2"
"16","Czw"," 9:15-10:00","p","7","71","229","2"
"17","Wt","10:00-10:45","n","5","58","402","3"
"18","Wt","10:00-10:45","n","6","58","403","3"
"19","Wt","10:00-10:45","n","6","25","58","4"
"20","Wt","10:00-10:45","n","5","25","59","4"
"21","Wt","10:00-10:45","n","4","66","880","1"
"22","Sr","10:00-10:45","n","7","19","100","4"
"23","Sr","10:00-10:45","p","7","19","101","4"
"24","Czw","10:00-10:45","n","8","71","228","2"
"25","Czw","10:00-10:45","p","7","71","229","2"
"26","Wt","11:00-11:45","n","5","157","881","5"
"27","Wt","11:00-11:45","n","6","158","882","5"
"28","Wt","11:00-11:45","n","4","25","883","4"
"29","Wt","11:00-11:45","n","4","159","884","5"
"30","Wt","11:00-11:45","n","6","66","464","1"
"31","Wt","11:00-11:45","p","5","66","465","1"
"32","Sr","11:00-11:45","n","9","4","885","6"
"33","Sr","11:00-11:45","p","9","4","886","6"
"34","Czw","11:00-11:45","n","1","5","74","7"
"35","Czw","11:00-11:45","p","1","5","75","7"
"36","Wt","11:45-12:30","n","5","157","881","5"
"37","Wt","11:45-12:30","n","6","158","882","5"
"38","Wt","11:45-12:30","n","4","25","883","4"
"39","Wt","11:45-12:30","n","4","159","884","5"
"40","Wt","11:45-12:30","n","6","66","464","1"
"41","Wt","11:45-12:30","p","5","66","465","1"
"42","Sr","11:45-12:30","n","9","4","885","6"
"43","Sr","11:45-12:30","p","9","4","886","6"
"44","Czw","11:45-12:30","n","1","5","74","7"
"45","Czw","11:45-12:30","p","1","5","75","7"
"46","Pon","12:45-13:30","n","1","9","62","4"
"47","Pon","12:45-13:30","p","1","47","201","8"
"48","Wt","12:45-13:30","n","5","157","881","5"
"49","Wt","12:45-13:30","n","6","158","882","5"
"50","Wt","12:45-13:30","n","4","159","884","5"
"51","Wt","12:45-13:30","n","6","66","464","1"
"52","Wt","12:45-13:30","p","5","66","465","1"
"53","Czw","12:45-13:30","n","1","5","74","7"
"54","Czw","12:45-13:30","p","1","5","75","7"
"55","Pt","12:45-13:30","n","3","7","100","4"
"56","Pt","12:45-13:30","p","3","7","101","4"
"57","Pon","13:30-14:15","n","1","9","62","4"
"58","Pon","13:30-14:15","p","1","47","201","8"
"59","Czw","13:30-14:15","n","10","1","887","7"
"60","Czw","13:30-14:15","p","10","1","888","7"
"61","Pt","13:30-14:15","n","3","7","100","4"
"62","Pt","13:30-14:15","p","3","7","101","4"
"63","Pon","14:30-15:15","n","10","2","889","1"
"64","Pon","14:30-15:15","p","10","2","890","4"
"65","Wt","14:30-15:15","n","10","1","891","9"
"66","Sr","14:30-15:15","n","9","3","892","6"
"67","Sr","14:30-15:15","p","9","3","893","6"
"68","Czw","14:30-15:15","n","10","13","894","8"
"69","Czw","14:30-15:15","p","4","58","895","3"
"70","Pon","15:15-16:00","n","10","2","889","1"
"71","Pon","15:15-16:00","p","10","2","890","4"
"72","Wt","15:15-16:00","n","10","1","891","9"
"73","Sr","15:15-16:00","n","9","3","892","6"
"74","Sr","15:15-16:00","p","9","3","893","6"
"75","Czw","15:15-16:00","n","10","13","894","8"
"76","Czw","15:15-16:00","p","4","58","895","3"
"77","Wt","16:15-17:00","n","2","71","446","9"
"78","Wt","16:15-17:00","p","2","71","447","9"
"79","Sr","16:15-17:00","n","9","9","896","6"
"80","Sr","16:15-17:00","p","9","9","897","6"
"81","Czw","16:15-17:00","n","10","13","898","5"
"82","Czw","16:15-17:00","p","10","13","899","5"
"83","Wt","17:00-17:45","n","2","71","446","9"
"84","Wt","17:00-17:45","p","2","71","447","9"
"85","Sr","17:00-17:45","n","9","9","896","6"
"86","Sr","17:00-17:45","p","9","9","897","6"
"87","Czw","17:00-17:45","n","10","13","898","5"
"88","Czw","17:00-17:45","p","10","13","899","5"
"89","Pt","17:00-17:45","n","10","160","900","2"
"90","Pt","17:00-17:45","p","10","160","901","2"
"91","Sr","18:00-18:45","n","9","9","902","6"
"92","Sr","18:00-18:45","p","9","9","903","6"
"93","Czw","18:00-18:45","n","8","72","270","9"
"94","Czw","18:00-18:45","p","8","72","271","9"
"95","Pt","18:00-18:45","n","10","160","900","2"
"96","Pt","18:00-18:45","p","10","160","901","2"
"97","Sr","18:45-19:30","n","9","9","902","6"
"98","Sr","18:45-19:30","p","9","9","903","6"
"99","Czw","18:45-19:30","n","8","72","270","9"
"100","Czw","18:45-19:30","p","8","72","271","9"
"101","Pon"," 7:30- 8:15","n","11","4","384","7"
"102","Pon"," 7:30- 8:15","p","11","4","385","7"
"103","Pon"," 8:15- 9:00","n","11","4","384","7"
"104","Pon"," 8:15- 9:00","p","11","4","385","7"
"105","Wt"," 8:15- 9:00","n","12","159","904","5"
"106","Wt"," 8:15- 9:00","n","13","67","465","1"
"107","Wt"," 8:15- 9:00","n","14","66","880","1"
"108","Pon"," 9:15-10:00","n","11","4","384","7"
"109","Pon"," 9:15-10:00","p","11","4","385","7"
"110","Wt"," 9:15-10:00","n","12","159","904","5"
"111","Wt"," 9:15-10:00","n","13","67","465","1"
"112","Wt"," 9:15-10:00","n","14","66","880","1"
"113","Czw"," 9:15-10:00","n","11","69","464","1"
"114","Czw"," 9:15-10:00","p","11","7","63","4"
"115","Pt"," 9:15-10:00","n","15","71","228","2"
"116","Pt"," 9:15-10:00","p","16","71","229","2"
"117","Pt"," 9:15-10:00","n","17","72","204","9"
"118","Pt"," 9:15-10:00","p","17","72","205","9"
"119","Wt","10:00-10:45","n","12","159","904","5"
"120","Wt","10:00-10:45","n","13","67","465","1"
"121","Wt","10:00-10:45","n","14","66","880","1"
"122","Czw","10:00-10:45","n","11","69","464","1"
"123","Czw","10:00-10:45","p","11","7","63","4"
"124","Pt","10:00-10:45","n","15","71","228","2"
"125","Pt","10:00-10:45","p","16","71","229","2"
"126","Pt","10:00-10:45","n","17","72","204","9"
"127","Pt","10:00-10:45","p","17","72","205","9"
"128","Wt","11:00-11:45","n","13","159","905","5"
"129","Wt","11:00-11:45","n","14","25","883","4"
"130","Wt","11:00-11:45","n","14","159","884","5"
"131","Wt","11:00-11:45","n","12","67","174","1"
"132","Wt","11:00-11:45","p","12","25","59","4"
"133","Sr","11:00-11:45","n","18","4","885","6"
"134","Sr","11:00-11:45","p","18","4","886","6"
"135","Czw","11:00-11:45","n","11","47","200","8"
"136","Pt","11:00-11:45","n","17","71","228","2"
"137","Pt","11:00-11:45","p","19","71","229","2"
"138","Pt","11:00-11:45","n","15","72","270","9"
"139","Pt","11:00-11:45","p","15","72","271","9"
"140","Wt","11:45-12:30","n","13","159","905","5"
"141","Wt","11:45-12:30","n","14","25","883","4"
"142","Wt","11:45-12:30","n","14","159","884","5"
"143","Wt","11:45-12:30","n","12","67","174","1"
"144","Wt","11:45-12:30","p","12","25","59","4"
"145","Sr","11:45-12:30","n","18","4","885","6"
"146","Sr","11:45-12:30","p","18","4","886","6"
"147","Czw","11:45-12:30","n","11","47","200","8"
"148","Pt","11:45-12:30","n","17","71","228","2"
"149","Pt","11:45-12:30","p","19","71","229","2"
"150","Pt","11:45-12:30","n","15","72","270","9"
"151","Pt","11:45-12:30","p","15","72","271","9"
"152","Pon","12:45-13:30","n","12","58","402","3"
"153","Pon","12:45-13:30","n","13","58","403","3"
"154","Pon","12:45-13:30","n","13","25","58","4"
"155","Wt","12:45-13:30","n","13","159","905","5"
"156","Wt","12:45-13:30","n","14","159","884","5"
"157","Wt","12:45-13:30","n","12","67","174","1"
"158","Pt","12:45-13:30","n","18","4","142","6"
"159","Pt","12:45-13:30","p","18","4","143","6"
"160","Pon","13:30-14:15","n","12","58","402","3"
"161","Pon","13:30-14:15","n","13","58","403","3"
"162","Pon","13:30-14:15","n","13","25","58","4"
"163","Czw","13:30-14:15","n","20","1","887","7"
"164","Czw","13:30-14:15","p","20","1","888","7"
"165","Pt","13:30-14:15","n","18","4","142","6"
"166","Pt","13:30-14:15","p","18","4","143","6"
"167","Pon","14:30-15:15","n","20","2","889","1"
"168","Pon","14:30-15:15","p","20","2","890","4"
"169","Wt","14:30-15:15","n","20","1","891","9"
"170","Czw","14:30-15:15","n","20","13","894","8"
"171","Czw","14:30-15:15","p","14","58","895","3"
"172","Pt","14:30-15:15","n","16","7","100","4"
"173","Pt","14:30-15:15","p","16","7","101","4"
"174","Pon","15:15-16:00","n","20","2","889","1"
"175","Pon","15:15-16:00","p","20","2","890","4"
"176","Wt","15:15-16:00","n","20","1","891","9"
"177","Czw","15:15-16:00","n","20","13","894","8"
"178","Czw","15:15-16:00","p","14","58","895","3"
"179","Pt","15:15-16:00","n","16","7","100","4"
"180","Pt","15:15-16:00","p","16","7","101","4"
"181","Sr","16:15-17:00","n","18","9","896","6"
"182","Sr","16:15-17:00","p","18","9","897","6"
"183","Czw","16:15-17:00","n","20","13","898","5"
"184","Czw","16:15-17:00","p","20","13","899","5"
"185","Sr","17:00-17:45","n","18","9","896","6"
"186","Sr","17:00-17:45","p","18","9","897","6"
"187","Czw","17:00-17:45","n","20","13","898","5"
"188","Czw","17:00-17:45","p","20","13","899","5"
"189","Pt","17:00-17:45","n","20","160","900","2"
"190","Pt","17:00-17:45","p","20","160","901","2"
"191","Wt","18:00-18:45","n","19","7","100","4"
"192","Wt","18:00-18:45","p","19","7","101","4"
"193","Sr","18:00-18:45","n","18","9","902","6"
"194","Sr","18:00-18:45","p","18","9","903","6"
"195","Pt","18:00-18:45","n","20","160","900","2"
"196","Pt","18:00-18:45","p","20","160","901","2"
"197","Wt","18:45-19:30","n","19","7","100","4"
"198","Wt","18:45-19:30","p","19","7","101","4"
"199","Sr","18:45-19:30","n","18","9","902","6"
"200","Sr","18:45-19:30","p","18","9","903","6"
"201","Pon"," 7:30- 8:15","n","21","58","402","3"
"202","Pon"," 7:30- 8:15","p","22","58","403","3"
"203","Czw"," 7:30- 8:15","p","23","5","63","4"
"204","Pon"," 8:15- 9:00","n","21","58","402","3"
"205","Pon"," 8:15- 9:00","p","22","58","403","3"
"206","Wt"," 8:15- 9:00","n","22","159","906","5"
"207","Wt"," 8:15- 9:00","n","24","66","880","1"
"208","Wt"," 8:15- 9:00","p","21","66","175","1"
"209","Czw"," 8:15- 9:00","p","23","5","63","4"
"210","Pon"," 9:15-10:00","n","22","25","58","4"
"211","Pon"," 9:15-10:00","p","21","25","59","4"
"212","Wt"," 9:15-10:00","n","22","159","906","5"
"213","Wt"," 9:15-10:00","n","24","66","880","1"
"214","Wt"," 9:15-10:00","p","21","66","175","1"
"215","Czw"," 9:15-10:00","n","23","47","200","8"
"216","Czw"," 9:15-10:00","p","23","69","465","1"
"217","Pt"," 9:15-10:00","n","25","11","100","4"
"218","Pt"," 9:15-10:00","p","25","11","101","4"
"219","Pon","10:00-10:45","n","22","25","58","4"
"220","Pon","10:00-10:45","p","21","25","59","4"
"221","Wt","10:00-10:45","n","22","159","906","5"
"222","Wt","10:00-10:45","n","24","66","880","1"
"223","Wt","10:00-10:45","p","21","66","175","1"
"224","Czw","10:00-10:45","n","23","47","200","8"
"225","Czw","10:00-10:45","p","23","69","465","1"
"226","Pt","10:00-10:45","n","25","11","100","4"
"227","Pt","10:00-10:45","p","25","11","101","4"
"228","Wt","11:00-11:45","n","21","157","907","5"
"229","Wt","11:00-11:45","n","24","25","883","4"
"230","Wt","11:00-11:45","p","24","159","884","5"
"231","Wt","11:00-11:45","p","22","67","175","1"
"232","Sr","11:00-11:45","n","26","4","885","6"
"233","Sr","11:00-11:45","p","26","4","886","6"
"234","Czw","11:00-11:45","n","27","33","100","4"
"235","Czw","11:00-11:45","p","27","33","101","4"
"236","Pt","11:00-11:45","n","26","4","142","6"
"237","Pt","11:00-11:45","p","26","4","143","6"
"238","Wt","11:45-12:30","n","21","157","907","5"
"239","Wt","11:45-12:30","n","24","25","883","4"
"240","Wt","11:45-12:30","p","24","159","884","5"
"241","Wt","11:45-12:30","p","22","67","175","1"
"242","Sr","11:45-12:30","n","26","4","885","6"
"243","Sr","11:45-12:30","p","26","4","886","6"
"244","Czw","11:45-12:30","n","27","33","100","4"
"245","Czw","11:45-12:30","p","27","33","101","4"
"246","Pt","11:45-12:30","n","26","4","142","6"
"247","Pt","11:45-12:30","p","26","4","143","6"
"248","Wt","12:45-13:30","p","21","157","907","5"
"249","Wt","12:45-13:30","p","24","159","884","5"
"250","Wt","12:45-13:30","p","22","67","175","1"
"251","Pt","12:45-13:30","n","28","71","228","2"
"252","Pt","12:45-13:30","p","25","71","229","2"
"253","Czw","13:30-14:15","n","29","1","887","7"
"254","Czw","13:30-14:15","p","29","1","888","7"
"255","Pt","13:30-14:15","n","28","71","228","2"
"256","Pt","13:30-14:15","p","25","71","229","2"
"257","Pon","14:30-15:15","n","29","2","889","1"
"258","Pon","14:30-15:15","p","29","2","890","4"
"259","Wt","14:30-15:15","n","29","1","891","9"
"260","Sr","14:30-15:15","n","26","3","892","6"
"261","Sr","14:30-15:15","p","26","3","893","6"
"262","Czw","14:30-15:15","n","29","13","894","8"
"263","Czw","14:30-15:15","p","24","58","895","3"
"264","Pt","14:30-15:15","n","30","71","228","2"
"265","Pt","14:30-15:15","p","27","71","229","2"
"266","Pt","14:30-15:15","n","28","72","204","9"
"267","Pt","14:30-15:15","p","28","72","205","9"
"268","Pon","15:15-16:00","n","29","2","889","1"
"269","Pon","15:15-16:00","p","29","2","890","4"
"270","Wt","15:15-16:00","n","29","1","891","9"
"271","Sr","15:15-16:00","n","26","3","892","6"
"272","Sr","15:15-16:00","p","26","3","893","6"
"273","Czw","15:15-16:00","n","29","13","894","8"
"274","Czw","15:15-16:00","p","24","58","895","3"
"275","Pt","15:15-16:00","n","30","71","228","2"
"276","Pt","15:15-16:00","p","27","71","229","2"
"277","Pt","15:15-16:00","n","28","72","204","9"
"278","Pt","15:15-16:00","p","28","72","205","9"
"279","Pon","16:15-17:00","n","30","72","204","9"
"280","Pon","16:15-17:00","p","30","72","205","9"
"281","Sr","16:15-17:00","n","26","9","896","6"
"282","Sr","16:15-17:00","p","26","9","897","6"
"283","Czw","16:15-17:00","n","29","13","898","5"
"284","Czw","16:15-17:00","p","29","13","899","5"
"285","Pon","17:00-17:45","n","30","72","204","9"
"286","Pon","17:00-17:45","p","30","72","205","9"
"287","Wt","17:00-17:45","n","23","5","384","7"
"288","Wt","17:00-17:45","p","23","5","385","7"
"289","Sr","17:00-17:45","n","26","9","896","6"
"290","Sr","17:00-17:45","p","26","9","897","6"
"291","Czw","17:00-17:45","n","29","13","898","5"
"292","Czw","17:00-17:45","p","29","13","899","5"
"293","Pt","17:00-17:45","n","29","160","900","2"
"294","Pt","17:00-17:45","p","29","160","901","2"
"295","Wt","18:00-18:45","n","23","5","384","7"
"296","Wt","18:00-18:45","p","23","5","385","7"
"297","Sr","18:00-18:45","n","26","9","902","6"
"298","Sr","18:00-18:45","p","26","9","903","6"
"299","Pt","18:00-18:45","n","29","160","900","2"
"300","Pt","18:00-18:45","p","29","160","901","2"
"301","Wt","18:45-19:30","n","23","5","384","7"
"302","Wt","18:45-19:30","p","23","5","385","7"
"303","Sr","18:45-19:30","n","26","9","902","6"
"304","Sr","18:45-19:30","p","26","9","903","6"
"305","Pon"," 7:30- 8:15","p","31","72","205","10"
"306","Wt"," 7:30- 8:15","n","31","26","408","4"
"307","Pon"," 8:15- 9:00","p","31","72","205","10"
"308","Wt"," 8:15- 9:00","n","31","26","408","4"
"309","Pon"," 9:15-10:00","n","32","97","94","11"
"310","Pon"," 9:15-10:00","p","32","97","95","11"
"311","Czw"," 9:15-10:00","n","33","13","908","12"
"312","Czw"," 9:15-10:00","p","33","13","909","12"
"313","Pt"," 9:15-10:00","n","34","4","22","6"
"314","Pt"," 9:15-10:00","p","34","4","23","6"
"315","Pon","10:00-10:45","n","32","97","94","11"
"316","Pon","10:00-10:45","p","32","97","95","11"
"317","Czw","10:00-10:45","n","33","13","908","12"
"318","Czw","10:00-10:45","p","33","13","909","12"
"319","Pt","10:00-10:45","n","34","4","22","6"
"320","Pt","10:00-10:45","p","34","4","23","6"
"321","Pon","11:00-11:45","n","32","97","94","11"
"322","Pon","11:00-11:45","p","32","97","95","11"
"323","Sr","11:00-11:45","n","34","4","885","6"
"324","Sr","11:00-11:45","p","34","4","886","6"
"325","Czw","11:00-11:45","p","35","11","107","12"
"326","Pt","11:00-11:45","p","31","58","403","3"
"327","Sr","11:45-12:30","n","34","4","885","6"
"328","Sr","11:45-12:30","p","34","4","886","6"
"329","Czw","11:45-12:30","p","35","11","107","12"
"330","Pt","11:45-12:30","p","31","58","403","3"
"331","Wt","12:45-13:30","p","31","84","421","10"
"332","Pt","12:45-13:30","n","35","47","200","8"
"333","Wt","13:30-14:15","n","31","158","906","5"
"334","Wt","13:30-14:15","p","31","84","421","10"
"335","Pt","13:30-14:15","n","35","47","200","8"
"336","Wt","14:30-15:15","n","31","158","906","5"
"337","Sr","14:30-15:15","n","33","13","910","11"
"338","Sr","14:30-15:15","p","33","13","911","11"
"339","Czw","14:30-15:15","n","33","13","894","8"
"340","Czw","14:30-15:15","p","33","8","912","7"
"341","Pt","14:30-15:15","p","33","2","913","4"
"342","Wt","15:15-16:00","n","31","158","906","5"
"343","Sr","15:15-16:00","n","33","13","910","11"
"344","Sr","15:15-16:00","p","33","13","911","11"
"345","Czw","15:15-16:00","n","33","13","894","8"
"346","Czw","15:15-16:00","p","33","8","912","7"
"347","Pt","15:15-16:00","p","33","2","913","4"
"348","Pon","16:15-17:00","n","32","19","56","4"
"349","Pon","16:15-17:00","p","35","34","57","4"
"350","Sr","16:15-17:00","n","33","13","910","11"
"351","Sr","16:15-17:00","p","33","13","911","11"
"352","Pon","17:00-17:45","n","32","19","56","4"
"353","Pon","17:00-17:45","p","35","34","57","4"
"354","Sr","17:00-17:45","n","35","6","368","7"
"355","Sr","17:00-17:45","p","35","6","369","7"
"356","Pon","18:00-18:45","n","33","13","914","5"
"357","Pon","18:00-18:45","p","33","13","915","5"
"358","Sr","18:00-18:45","n","35","6","368","7"
"359","Sr","18:00-18:45","p","35","6","369","7"
"360","Pt","18:00-18:45","n","33","161","916","10"
"361","Pt","18:00-18:45","p","33","161","917","10"
"362","Pon","18:45-19:30","n","33","13","914","5"
"363","Pon","18:45-19:30","p","33","13","915","5"
"364","Sr","18:45-19:30","n","35","6","368","7"
"365","Sr","18:45-19:30","p","35","6","369","7"
"366","Pt","18:45-19:30","n","33","161","916","10"
"367","Pt","18:45-19:30","p","33","161","917","10"
"368","Pt","19:45-20:30","n","33","161","916","10"
"369","Pt","19:45-20:30","p","33","161","917","10"
"370","Pon"," 7:30- 8:15","p","36","11","167","4"
"371","Sr"," 7:30- 8:15","n","37","6","918","6"
"372","Sr"," 7:30- 8:15","p","37","6","919","6"
"373","Pon"," 8:15- 9:00","p","36","11","167","4"
"374","Sr"," 8:15- 9:00","n","37","6","918","6"
"375","Sr"," 8:15- 9:00","p","37","6","919","6"
"376","Czw"," 8:15- 9:00","n","38","73","920","13"
"377","Czw"," 8:15- 9:00","p","38","73","921","13"
"378","Pon"," 9:15-10:00","n","39","67","464","1"
"379","Pon"," 9:15-10:00","p","40","2","922","1"
"380","Wt"," 9:15-10:00","n","40","2","923","14"
"381","Sr"," 9:15-10:00","n","37","6","924","6"
"382","Sr"," 9:15-10:00","p","37","6","925","6"
"383","Czw"," 9:15-10:00","n","38","73","920","13"
"384","Czw"," 9:15-10:00","p","38","73","921","13"
"385","Pon","10:00-10:45","n","39","67","464","1"
"386","Pon","10:00-10:45","p","40","2","922","1"
"387","Wt","10:00-10:45","n","40","2","923","14"
"388","Sr","10:00-10:45","n","37","6","924","6"
"389","Sr","10:00-10:45","p","37","6","925","6"
"390","Czw","10:00-10:45","n","38","73","920","13"
"391","Czw","10:00-10:45","p","38","73","921","13"
"392","Pon","11:00-11:45","n","41","66","464","1"
"393","Pon","11:00-11:45","n","42","25","926","4"
"394","Pon","11:00-11:45","n","43","26","927","4"
"395","Pon","11:00-11:45","n","42","58","928","3"
"396","Pon","11:00-11:45","p","43","58","929","3"
"397","Wt","11:00-11:45","n","40","2","923","14"
"398","Czw","11:00-11:45","n","41","157","930","5"
"399","Czw","11:00-11:45","n","42","157","931","5"
"400","Czw","11:00-11:45","n","43","158","932","5"
"401","Czw","11:00-11:45","n","42","66","933","1"
"402","Czw","11:00-11:45","p","43","66","934","1"
"403","Pt","11:00-11:45","n","39","10","166","4"
"404","Pt","11:00-11:45","p","38","6","935","4"
"405","Pon","11:45-12:30","n","41","66","464","1"
"406","Pon","11:45-12:30","n","42","25","926","4"
"407","Pon","11:45-12:30","n","43","26","927","4"
"408","Pon","11:45-12:30","n","42","58","928","3"
"409","Pon","11:45-12:30","p","43","58","929","3"
"410","Czw","11:45-12:30","n","41","157","930","5"
"411","Czw","11:45-12:30","n","42","157","931","5"
"412","Czw","11:45-12:30","n","43","158","932","5"
"413","Czw","11:45-12:30","n","42","66","933","1"
"414","Czw","11:45-12:30","p","43","66","934","1"
"415","Pt","11:45-12:30","n","39","10","166","4"
"416","Pt","11:45-12:30","p","38","6","935","4"
"417","Pon","12:45-13:30","n","41","66","464","1"
"418","Pon","12:45-13:30","p","41","25","59","4"
"419","Czw","12:45-13:30","n","41","157","930","5"
"420","Czw","12:45-13:30","n","42","157","931","5"
"421","Czw","12:45-13:30","n","43","158","932","5"
"422","Czw","12:45-13:30","n","42","66","933","1"
"423","Czw","12:45-13:30","p","43","66","934","1"
"424","Pt","12:45-13:30","p","40","12","936","7"
"425","Pon","13:30-14:15","p","41","25","59","4"
"426","Czw","13:30-14:15","p","39","83","279","14"
"427","Pt","13:30-14:15","p","40","12","936","7"
"428","Pon","14:30-15:15","n","41","58","370","3"
"429","Pon","14:30-15:15","p","39","47","201","8"
"430","Wt","14:30-15:15","n","39","12","156","7"
"431","Wt","14:30-15:15","p","39","12","157","7"
"432","Sr","14:30-15:15","n","36","73","210","13"
"433","Sr","14:30-15:15","p","36","73","211","13"
"434","Czw","14:30-15:15","n","40","13","894","8"
"435","Czw","14:30-15:15","p","39","83","279","14"
"436","Pt","14:30-15:15","n","40","10","937","13"
"437","Pt","14:30-15:15","p","40","2","913","4"
"438","Pon","15:15-16:00","n","41","58","370","3"
"439","Pon","15:15-16:00","p","39","47","201","8"
"440","Wt","15:15-16:00","n","39","12","156","7"
"441","Wt","15:15-16:00","p","39","12","157","7"
"442","Sr","15:15-16:00","n","36","73","210","13"
"443","Sr","15:15-16:00","p","36","73","211","13"
"444","Czw","15:15-16:00","n","40","13","894","8"
"445","Czw","15:15-16:00","p","39","83","279","14"
"446","Pt","15:15-16:00","n","40","10","937","13"
"447","Pt","15:15-16:00","p","40","2","913","4"
"448","Wt","16:15-17:00","n","39","12","156","7"
"449","Wt","16:15-17:00","p","39","12","157","7"
"450","Sr","16:15-17:00","n","36","73","210","13"
"451","Sr","16:15-17:00","p","36","73","211","13"
"452","Czw","16:15-17:00","n","40","13","898","5"
"453","Czw","16:15-17:00","p","40","13","899","5"
"454","Czw","17:00-17:45","n","40","13","898","5"
"455","Czw","17:00-17:45","p","40","13","899","5"
"456","Pon"," 7:30- 8:15","n","44","67","464","1"
"457","Wt"," 7:30- 8:15","n","44","10","166","4"
"458","Sr"," 7:30- 8:15","n","45","6","919","6"
"459","Sr"," 7:30- 8:15","n","45","6","918","6"
"460","Pt"," 7:30- 8:15","p","46","10","167","4"
"461","Pon"," 8:15- 9:00","n","44","67","464","1"
"462","Wt"," 8:15- 9:00","n","44","10","166","4"
"463","Sr"," 8:15- 9:00","n","45","6","919","6"
"464","Sr"," 8:15- 9:00","n","45","6","918","6"
"465","Czw"," 8:15- 9:00","n","47","73","920","13"
"466","Czw"," 8:15- 9:00","p","47","73","921","13"
"467","Pt"," 8:15- 9:00","p","46","10","167","4"
"468","Pon"," 9:15-10:00","p","48","2","922","1"
"469","Wt"," 9:15-10:00","n","48","2","923","14"
"470","Wt"," 9:15-10:00","p","44","73","279","14"
"471","Sr"," 9:15-10:00","n","45","6","924","6"
"472","Sr"," 9:15-10:00","p","45","6","925","6"
"473","Czw"," 9:15-10:00","n","47","73","920","13"
"474","Czw"," 9:15-10:00","p","47","73","921","13"
"475","Pt"," 9:15-10:00","p","44","47","201","8"
"476","Pon","10:00-10:45","p","48","2","922","1"
"477","Wt","10:00-10:45","n","48","2","923","14"
"478","Wt","10:00-10:45","p","44","73","279","14"
"479","Sr","10:00-10:45","n","45","6","924","6"
"480","Sr","10:00-10:45","p","45","6","925","6"
"481","Czw","10:00-10:45","n","47","73","920","13"
"482","Czw","10:00-10:45","p","47","73","921","13"
"483","Pt","10:00-10:45","p","44","47","201","8"
"484","Pon","11:00-11:45","n","49","25","58","4"
"485","Pon","11:00-11:45","n","50","25","926","4"
"486","Pon","11:00-11:45","n","51","26","927","4"
"487","Pon","11:00-11:45","n","49","66","465","1"
"488","Pon","11:00-11:45","n","50","58","928","3"
"489","Pon","11:00-11:45","p","51","58","929","3"
"490","Wt","11:00-11:45","n","48","2","923","14"
"491","Wt","11:00-11:45","p","44","73","279","14"
"492","Czw","11:00-11:45","n","50","157","931","5"
"493","Czw","11:00-11:45","n","51","158","932","5"
"494","Czw","11:00-11:45","n","49","158","907","5"
"495","Czw","11:00-11:45","n","50","66","933","1"
"496","Czw","11:00-11:45","p","51","66","934","1"
"497","Pt","11:00-11:45","p","47","6","935","4"
"498","Pon","11:45-12:30","n","49","25","58","4"
"499","Pon","11:45-12:30","n","50","25","926","4"
"500","Pon","11:45-12:30","n","51","26","927","4"
"501","Pon","11:45-12:30","n","49","66","465","1"
"502","Pon","11:45-12:30","n","50","58","928","3"
"503","Pon","11:45-12:30","p","51","58","929","3"
"504","Czw","11:45-12:30","n","50","157","931","5"
"505","Czw","11:45-12:30","n","51","158","932","5"
"506","Czw","11:45-12:30","n","49","158","907","5"
"507","Czw","11:45-12:30","n","50","66","933","1"
"508","Czw","11:45-12:30","p","51","66","934","1"
"509","Pt","11:45-12:30","p","47","6","935","4"
"510","Pon","12:45-13:30","p","49","66","465","1"
"511","Sr","12:45-13:30","n","44","8","212","7"
"512","Sr","12:45-13:30","p","44","8","213","7"
"513","Czw","12:45-13:30","n","50","157","931","5"
"514","Czw","12:45-13:30","n","51","158","932","5"
"515","Czw","12:45-13:30","n","49","158","907","5"
"516","Czw","12:45-13:30","n","50","66","933","1"
"517","Czw","12:45-13:30","p","51","66","934","1"
"518","Pt","12:45-13:30","p","48","12","936","7"
"519","Sr","13:30-14:15","n","44","8","212","7"
"520","Sr","13:30-14:15","p","44","8","213","7"
"521","Pt","13:30-14:15","p","48","12","936","7"
"522","Pon","14:30-15:15","p","49","58","371","3"
"523","Wt","14:30-15:15","n","46","73","210","13"
"524","Wt","14:30-15:15","p","46","73","211","13"
"525","Sr","14:30-15:15","n","44","8","212","7"
"526","Sr","14:30-15:15","p","44","8","213","7"
"527","Czw","14:30-15:15","n","48","13","894","8"
